distance,cov.min.eval,z_max,motif.max.score,alifold_cov_score,mfe.score,gc.score,motif.sum,group,ID,probability,p.value,read.max.score,read.counts,known,d.val,cov.val,ali.cov.val,z.val,motif.val,read.val,sig.features
0.022887,10,10,0,0,-4.7,46.9387755102041,0,Predicted,GCA_001874505.1_56,0.86,1,113,3,FALSE,0,0,0,0,0,1,1
0.008638,10,10,0,0,-5.9,39.5833333333333,0,Predicted,GCA_000220485.1_346,0.85,1,587,3,FALSE,0,0,0,0,0,1,1
0.04303,10,-1.5,19.9,-0.44,-13.73,36.8794326241135,113.2,Predicted,GCA_000017765.1_417,0.84,1,68,3,FALSE,0,0,0,0,1,0,1
0.055309,0.0048046,-0.6,14.9,0,-1.56,38.2978723404255,48.4,Predicted,GCA_000196475.1_564,0.84,1,30,1,FALSE,1,1,0,0,1,0,3
0.045951,10,-3.5,14.4,-0.04,-18.88,61.8181818181818,63.7,Predicted,GCA_000283715.1_189,0.84,1,1275,9,FALSE,0,0,0,0,1,1,2
0.03391,10,10,0,-0.32,-1.78,26.530612244898,0,Predicted,GCA_000438825.1_139,0.84,1,106,4,FALSE,0,0,0,0,0,1,1
0.432359,0.000715021,10,14.6,0,0,70.1149425287356,24.8,Predicted,GCA_001656035.1_379,0.84,1,338,2,FALSE,1,1,0,0,1,1,4
0.061119,0.00453311,-1.6,25.8,0.38,-15.21,51.3274336283186,72.1,Predicted,GCA_900243355.1_198,0.84,1,1624,3,FALSE,1,1,0,0,1,1,4
0.006631,10,10,0,-0.24,-16.46,61.2244897959184,0,Predicted,GCA_000017765.1_131,0.83,1,51,5,FALSE,0,0,0,0,0,0,0
0.301526,10,-2,10.6,-0.09,-7.69,57.6271186440678,73.7,Predicted,GCA_001559675.1_290,0.83,1,83160,20,TRUE,1,0,0,0,1,1,3
0.008637,10,10,0,0,-7.7,40.8163265306122,0,Predicted,GCA_002220715.1_289,0.83,1,98,3,FALSE,0,0,0,0,0,0,0
0.225031,10,0.8,17.7,0.8,-25.88,68.7022900763359,100,Predicted,GCA_002850215.1_177,0.83,1,80,3,FALSE,1,0,0,0,1,0,2
0.300864,10,0,12.6,0,0,56.0606060606061,31.5,Predicted,GCA_000210855.2_39,0.82,1,26494,19,TRUE,1,0,0,0,1,1,3
0.055009,10,-0.9,15.1,-0.62,-2.41,34.4086021505376,52.8,Predicted,GCA_000220485.1_250,0.82,1,4075,19,FALSE,1,0,1,0,1,1,4
0.179947,10,-3,14.1,0.27,-43.88,66.2790697674419,87.3,Predicted,GCA_000661955.1_356,0.81,1,14627,2,FALSE,1,0,0,0,1,1,3
0.495254,4.08328e-18,-1.9,12.2,-1,-9.49,57.3529411764706,164.6,Predicted,GCA_002850215.1_158,0.81,1,23553,37,TRUE,1,1,1,0,1,1,5
0.360705,10,-5.8,17.1,-3.82,-40.32,42.2077922077922,78.7,Predicted,GCA_000015425.1_38,0.79,1,21199,4,FALSE,1,0,1,1,1,1,5
0.184772,10,10,0,0,0,33.3333333333333,0,Predicted,GCA_000222975.1_220,0.79,1,1785,1,FALSE,1,0,0,0,0,1,2
0.372964,10,-1.2,15.3,3.66,-32.39,35.8024691358025,75.5,Predicted,GCA_002504125.1_41,0.79,1,74,4,FALSE,1,0,0,0,1,0,2
0.300451,10,-0.2,11.4,-0.24,-12.21,52.3076923076923,48.8,Predicted,GCA_000283715.1_415,0.78,1,530,6,FALSE,1,0,0,0,1,1,3
0.234127,10,-1.4,12,2.75,-53.25,70.9923664122137,66.9,Predicted,GCA_000661955.1_163,0.78,1,2630,1,FALSE,1,0,0,0,1,1,3
0.341282,10,0.3,12.3,4.68,-10.9,32.4050632911392,51.3,Predicted,GCA_005931095.1_101,0.77,1,33,1,FALSE,1,0,0,0,1,0,2
0.295705,10,1.1,9.9,0,0,41.958041958042,25.3,Predicted,GCA_000747565.1_282,0.76,1,745,5,FALSE,1,0,0,0,1,1,3
0.236771,10,-9,23.1,-0.18,-46.92,67.1428571428571,647.1,Predicted,GCA_002355295.1_392,0.76,1,2173,2,FALSE,1,0,0,1,1,1,4
0.36882,10,10,0,0,0,34.3511450381679,0,Predicted,GCA_005931095.1_635,0.76,1,93,1,FALSE,1,0,0,0,0,0,1
0.250871,10,10,10.6,0,0,26.0416666666667,21.2,Predicted,GCA_000006765.1_668,0.75,1,60499,6,FALSE,1,0,0,0,1,1,3
0.295705,10,-2.8,10.3,-0.28,-10.27,47.2972972972973,41,Predicted,GCA_000222975.1_82,0.75,1,2953,4,FALSE,1,0,0,0,1,1,3
0.062972,0.0013232,-6.9,23.6,-1.72,-35.84,54.7368421052632,828.3,Predicted,GCA_002220715.1_463,0.75,1,313,6,FALSE,1,1,1,1,1,1,6
0.296494,10,-4.7,12.7,-2.91,-57.75,55.3977272727273,133.5,Predicted,GCA_000017745.1_570,0.74,1,198,4,FALSE,1,0,1,1,1,1,5
0.335643,0.000510884,-8.2,12.3,-13.04,-64.93,46.1095100864553,397.7,Predicted,GCA_000046845.1_118,0.74,1,1088,2,TRUE,1,1,1,1,1,1,6
0.235419,10,-5.6,15.5,0.65,-43.83,55.46875,39.1,Predicted,GCA_002850215.1_141,0.74,1,20892,3,FALSE,1,0,0,1,1,1,4
0.388117,10,-4.8,10.9,-0.91,-23.66,41.0404624277457,38.3,Predicted,GCA_005931095.1_365,0.74,1,251,1,FALSE,1,0,1,1,1,1,5
0.070749,10,-7.5,9.8,-0.16,-0.91,54.1237113402062,27,Predicted,GCA_000006765.1_1,0.73,1,453,5,FALSE,1,0,0,1,1,1,4
0.01806,10,1.5,15.2,0,0,70.1492537313433,506.7,Predicted,GCA_000220485.1_124,0.73,1,3064,3,FALSE,0,0,0,0,1,1,2
0.069158,10,-5.9,31.3,2,-69.7,55.3763440860215,65.5,Predicted,GCA_000661955.1_122,0.73,1,72,1,FALSE,1,0,0,1,1,0,3
0.014004,10,0.2,16.9,-0.48,-1.17,19.5804195804196,65.7,Predicted,GCA_000017765.1_282,0.72,1,565,9,FALSE,0,0,0,0,1,1,2
0.18392,10,-5.8,10.8,-1.26,-25.35,65.4320987654321,52.6,Predicted,GCA_000091565.1_233,0.72,1,455,1,FALSE,1,0,1,1,1,1,5
0.076181,10,-6.5,28.4,-0.53,-24.1,52.3364485981308,302.1,Predicted,GCA_000220485.1_281,0.72,1,2106,8,FALSE,1,0,1,1,1,1,5
0.295705,10,-5.5,18.9,2.34,-43.53,44.1025641025641,102.1,Predicted,GCA_000987925.1_488,0.72,1,154,1,FALSE,1,0,0,1,1,1,4
0.047216,10,-1.5,18.3,-0.28,-12.68,34.8148148148148,42.9,Predicted,GCA_002220715.1_62,0.72,1,165,4,FALSE,0,0,0,0,1,1,2
0.261499,10,-2.1,11.4,10.5,-81.45,53.6885245901639,38.4,Predicted,GCA_002355295.1_121,0.72,1,6744,2,FALSE,1,0,0,0,1,1,3
0.240804,10,-0.3,10.5,-0.37,-29.99,73.8095238095238,48.6,Predicted,GCA_000281215.1_225,0.7,1,86,2,FALSE,1,0,0,0,1,0,2
0.308199,10,-0.5,29.7,1.75,-29.08,59.0909090909091,59.4,Predicted,GCA_000007565.2_285,0.69,1,8,1,FALSE,1,0,0,0,1,0,2
0.047794,10,-2.7,14.1,0.77,-75.76,44.3864229765013,247.4,Predicted,GCA_000661955.1_438,0.69,1,252,1,FALSE,0,0,0,0,1,1,2
0.043729,10,-7.8,16.5,-0.25,-8.08,30.8823529411765,39.7,Predicted,GCA_000220485.1_378,0.67,1,909,15,FALSE,0,0,0,1,1,1,3
0.224344,10,-2.8,12.5,0.25,-25.55,68.6274509803922,30.5,Predicted,GCA_001042875.1_449,0.67,1,598,3,FALSE,1,0,0,0,1,1,3
0.360705,0.0462148,-1.4,13.4,-1.2,-6.36,36.0824742268041,26.8,Predicted,GCA_000015425.1_105,0.66,1,45710,4,FALSE,1,1,1,0,1,1,5
0.360705,10,-6.3,28.6,-0.75,-32.18,39.8230088495575,146.7,Predicted,GCA_000196795.1_104,0.66,1,2940,5,FALSE,1,0,1,1,1,1,5
0.040314,10,-0.5,20.4,-0.22,-41.27,51.5151515151515,79.9,Predicted,GCA_000210855.2_41,0.66,1,594,6,FALSE,0,0,0,0,1,1,2
0.043737,10,-4.1,20.9,-0.2,-26.41,32.0224719101124,295.5,Predicted,GCA_000438825.1_206,0.66,1,15636,2,FALSE,0,0,0,1,1,1,3
0.046576,10,-0.1,13.2,-0.09,-10.16,49.0066225165563,45.3,Predicted,GCA_000835925.1_257,0.66,1,66555,18,TRUE,0,0,0,0,1,1,2
0.052939,0.000765843,-1,11,-1.8,-20.7,52.3809523809524,50.3,Predicted,GCA_000835925.1_238,0.65,1,13275,14,FALSE,1,1,1,0,1,1,5
0.075914,10,-0.9,17.6,0.02,-1.01,45.8333333333333,17.6,Predicted,GCA_000007405.1_602,0.64,1,5858,20,FALSE,1,0,0,0,1,1,3
0.055309,10,-10.4,24.6,-1.32,-43.73,27.6073619631902,95.5,Predicted,GCA_000196475.1_262,0.64,1,250,1,TRUE,1,0,1,1,1,1,5
0.346735,10,1.5,16.1,1,-11.55,29.0502793296089,26.1,Predicted,GCA_000007565.2_378,0.63,1,18,1,FALSE,1,0,0,0,1,0,2
0.205813,10,-3.1,10.5,-0.22,-44.73,62.962962962963,20,Predicted,GCA_002208745.1_219,0.63,1,36,2,FALSE,1,0,0,0,1,0,2
0.225528,10,-3.4,10.8,-1.99,-23.18,42.578125,21.2,Predicted,GCA_005931095.1_786,0.63,1,113,1,FALSE,1,0,1,0,1,1,4
0.041573,0.00063694,-1.5,11.8,-2.05,-16.16,50.4901960784314,49.8,Predicted,GCA_000007565.2_171,0.62,1,4310,3,FALSE,0,1,1,0,1,1,4
0.048712,10,1.3,15.2,-1.96,-27.32,49.748743718593,50.4,Predicted,GCA_000497505.1_255,0.62,1,9909,17,FALSE,0,0,1,0,1,1,3
0.293411,10,-2.9,11.4,1.83,-10.42,35.8778625954198,32.7,Predicted,GCA_001656035.1_127,0.61,1,413,4,FALSE,1,0,0,0,1,1,3
0.063145,10,0.2,10.5,-0.19,-15.56,55.327868852459,17.5,Predicted,GCA_000006765.1_276,0.6,1,5416,4,FALSE,1,0,0,0,1,1,3
0.040173,10,-3.7,14.1,-1.36,-33.28,50.4424778761062,135.9,Predicted,GCA_000017745.1_532,0.6,1,37,1,FALSE,0,0,1,1,1,0,3
0.03757,10,-5,14.9,-1.64,-35.04,60,190.5,Predicted,GCA_000210855.2_455,0.6,1,35,1,FALSE,0,0,1,1,1,0,3
0.080201,0.00818239,-0.3,7.3,0,0,33.3333333333333,14.3,Predicted,GCA_000210855.2_407,0.59,1,54890,8,FALSE,1,1,0,0,1,1,4
0.300451,10,1.2,7.7,-0.51,-4.38,46.0431654676259,7.7,Predicted,GCA_000222975.1_54,0.59,1,64192,22,FALSE,1,0,1,0,1,1,4
0.047216,10,0.6,12.5,0.06,-11.11,40.3508771929825,35,Predicted,GCA_001656035.1_221,0.59,1,1108,4,FALSE,0,0,0,0,1,1,2
0.308573,10,-2.8,8.1,-3.39,-13.55,55.241935483871,8.1,Predicted,GCA_005931095.1_968,0.59,1,109,1,TRUE,1,0,1,0,1,1,4
0.06217,0.00412276,-1,11.1,-0.77,-19.49,53.030303030303,21.7,Predicted,GCA_000964565.1_273,0.58,1,119,4,FALSE,1,1,1,0,1,1,5
0.310611,0.0177674,-0.4,9,-2.05,-4.35,41.4634146341463,16.5,Predicted,GCA_000213655.1_290,0.57,1,127,4,FALSE,1,1,1,0,1,1,5
0.235419,10,-0.4,9.7,-0.12,-6.52,54.6218487394958,9.7,Predicted,GCA_001042875.1_494,0.57,1,869,3,FALSE,1,0,0,0,1,1,3
0.052193,0.00907333,-3.9,10,2.75,-20.77,45,28.2,Predicted,GCA_001750725.1_305,0.57,1,7555,1,TRUE,1,1,0,1,1,1,5
0.064749,10,0.9,12.4,1.5,-17.2,53.2467532467532,23.6,Predicted,GCA_000007565.2_104,0.56,1,54,1,FALSE,1,0,0,0,1,0,2
0.117999,10,1.2,0,0,0,34.1176470588235,0,Predicted,GCA_000213655.1_139,0.56,1,1343,3,FALSE,1,0,0,0,0,1,2
0.295705,10,-4,0,-0.84,-25.46,47.8787878787879,0,Predicted,GCA_000964565.1_488,0.56,1,1719,4,FALSE,1,0,1,1,0,1,4
0.224344,10,-1.7,14.8,1.19,-27.8,56.1904761904762,24.5,Predicted,GCA_002850215.1_52,0.56,1,711,3,FALSE,1,0,0,0,1,1,3
0.179254,10,-1.2,9.4,0,-25.3,54.7945205479452,9.4,Predicted,GCA_000015425.1_94,0.55,1,485,2,FALSE,1,0,0,0,1,1,3
0.027003,10,-2.6,14.4,-0.32,-97.06,70.3196347031963,116.3,Predicted,GCA_000017745.1_582,0.55,1,24,1,FALSE,0,0,0,0,1,0,1
0.236948,10,-1.8,10.3,1.64,-36.4,61.7647058823529,10.3,Predicted,GCA_000006765.1_421,0.54,1,51,2,FALSE,1,0,0,0,1,0,2
0.408176,10,-4.6,18.9,0.79,-23.21,44,18.9,Predicted,GCA_000222975.1_486,0.54,1,509,4,FALSE,1,0,0,1,1,1,4
0.038763,10,-4.6,8.9,0.04,-46.53,54.9180327868852,16,Predicted,GCA_000281215.1_215,0.54,1,4976,4,FALSE,0,0,0,1,1,1,3
0,10,-6.2,12.1,-0.72,-7.18,65.8730158730159,75.5,Predicted,GCA_000661955.1_119,0.54,1,60,1,FALSE,0,0,1,1,1,0,3
0.065005,10,-0.8,13.6,-1.11,-14.44,46.3917525773196,13.6,Predicted,GCA_000835925.1_230,0.54,1,31469,17,FALSE,1,0,1,0,1,1,4
0.234127,10,-2,11.8,0,-14.77,50.6666666666667,22,Predicted,GCA_001042875.1_204,0.54,1,1298,3,FALSE,1,0,0,0,1,1,3
0.020751,0.00709362,-4.4,12.1,-1.85,-18.51,50.8928571428571,146.3,Predicted,GCA_000007565.2_196,0.53,1,295,2,FALSE,0,1,1,1,1,1,5
0.360705,10,-3.4,7.1,-0.44,-23.58,48.3516483516484,7.1,Predicted,GCA_000015425.1_257,0.53,1,9866,4,FALSE,1,0,0,0,1,1,3
0.360705,10,-2.1,0,0.28,-45.08,44,0,Predicted,GCA_000015425.1_47,0.53,1,3547,4,FALSE,1,0,0,0,0,1,2
0.350732,0.0287215,-1.5,7.9,-1.45,-31.3,54.3352601156069,7.9,Predicted,GCA_000213655.1_304,0.53,1,66,2,FALSE,1,1,1,0,1,0,4
0.421197,0.000964431,-3.9,9,-0.07,-6.04,49.1525423728814,9,Predicted,GCA_000747565.1_420,0.53,1,4094,21,FALSE,1,1,0,1,1,1,5
0.242556,0.010606,0,0,0.02,-5.26,58.0645161290323,0,Predicted,GCA_002355295.1_13,0.53,1,8663,4,FALSE,1,1,0,0,0,1,3
0.048712,0.0106163,0.3,11.9,-0.42,-0.61,28.0898876404494,23.7,Predicted,GCA_000007405.1_651,0.52,1,1910,13,FALSE,0,1,0,0,1,1,3
0.179254,10,-1.3,9.7,0,-27.8,74.5762711864407,17.9,Predicted,GCA_000015425.1_99,0.52,1,680,2,FALSE,1,0,0,0,1,1,3
0.301691,10,-0.4,0,0.09,-17.51,53.6585365853659,0,Predicted,GCA_000007405.1_317,0.51,1,2764,4,FALSE,1,0,0,0,0,1,2
0.047216,0.0148761,0.2,10.5,0.64,-15.65,34.2948717948718,46.4,Predicted,GCA_000747565.1_84,0.51,1,424,4,FALSE,0,1,0,0,1,1,3
0.136262,10,1.1,0,3.57,-56.3,59.4202898550725,0,Predicted,GCA_000006765.1_66,0.5,1,140,2,FALSE,1,0,0,0,0,1,2
0.360705,0.000100949,1,8.4,-1.68,-16.73,30.6818181818182,8.4,Predicted,GCA_000015425.1_110,0.5,1,88236,4,FALSE,1,1,1,0,1,1,5
0.03391,10,-2.3,12.4,0.44,-26.13,37.5796178343949,71.8,Predicted,GCA_002220715.1_98,0.5,1,179,3,FALSE,0,0,0,0,1,1,2
0.024836,10,-1.3,14.5,0.23,-19.12,36.5079365079365,109.8,Predicted,GCA_900088705.1_324,0.5,1,1876,4,FALSE,0,0,0,0,1,1,2
0.056793,10,1,10,-0.02,-0.26,40.9090909090909,10,Predicted,GCA_000007405.1_585,0.49,1,5379,20,FALSE,1,0,0,0,1,1,3
0.300451,10,0.2,0,0,0,23.0769230769231,0,Predicted,GCA_000007405.1_643,0.49,1,2968,21,FALSE,1,0,0,0,0,1,2
0.224344,10,-0.2,0,6.5,-70,61.1111111111111,0,Predicted,GCA_002355295.1_407,0.49,1,1116,2,FALSE,1,0,0,0,0,1,2
0.045951,0.00560752,-2.1,21,-0.04,-5.93,32.2222222222222,21,Predicted,GCA_000007405.1_126,0.48,1,3694,15,FALSE,0,1,0,0,1,1,3
0.008638,10,-0.1,14,-0.31,-7.14,57.9831932773109,64.5,Predicted,GCA_000220485.1_159,0.48,1,419,3,FALSE,0,0,0,0,1,1,2
0.00132,10,0,15.8,-0.02,-1.52,71.1538461538462,105.4,Predicted,GCA_001042875.1_107,0.48,1,15795,3,FALSE,0,0,0,0,1,1,2
0.233876,10,-0.2,11,-0.84,-13.52,43.5897435897436,11,Predicted,GCA_000007405.1_5,0.47,1,1100,3,FALSE,1,0,1,0,1,1,4
0.008598,0.031422,-1,28.4,0,0,63.2352941176471,1871.6,Predicted,GCA_000007565.2_135,0.47,1,18241,2,FALSE,0,1,0,0,1,1,3
0.179254,10,0.2,0,0,-20.7,66.1538461538461,0,Predicted,GCA_000015425.1_96,0.47,1,224,2,FALSE,1,0,0,0,0,1,2
0.300451,10,-0.7,0,-0.09,-0.69,26.7605633802817,0,Predicted,GCA_000017745.1_256,0.47,1,80823,22,FALSE,1,0,0,0,0,1,2
0,10,-2.3,14.4,0.5,-92.32,56.6801619433198,65.3,Predicted,GCA_000006765.1_39,0.46,1,822,2,FALSE,0,0,0,0,1,1,2
0.048712,10,0.1,14.5,0,0,27.6119402985075,14.5,Predicted,GCA_000007405.1_227,0.46,1,2163,18,FALSE,0,0,0,0,1,1,2
0.076566,10,-1.6,0,0,-5.71,39.7260273972603,0,Predicted,GCA_000017745.1_320,0.46,1,897,18,FALSE,1,0,0,0,0,1,2
0.194403,10,1.3,7.8,6.25,-54.35,60.3174603174603,7.8,Predicted,GCA_000661955.1_101,0.46,1,103,1,FALSE,1,0,0,0,1,1,3
0.038768,10,-6,11.4,-0.52,-24.49,41.5384615384615,19.5,Predicted,GCA_000835925.1_256,0.46,1,9382,15,FALSE,0,0,1,1,1,1,4
0.029678,0.0492364,0.2,11.7,2.35,-45.6,57.6923076923077,63.4,Predicted,GCA_001042875.1_347,0.46,1,748,2,FALSE,0,1,0,0,1,1,3
0,10,-0.8,16.2,-0.44,-13.46,66.3461538461538,224.4,Predicted,GCA_002208745.1_277,0.46,1,1704,2,FALSE,0,0,0,0,1,1,2
0.208958,10,-0.1,0,8.5,-46.5,46.4646464646465,0,Predicted,GCA_005931095.1_395,0.46,1,36,1,FALSE,1,0,0,0,0,0,1
0.286967,0.00149594,-0.4,0,-0.25,-10.4,52.6315789473684,0,Predicted,GCA_000091565.1_403,0.45,1,563,1,FALSE,1,1,0,0,0,1,3
0.227143,10,1.2,8.4,5,-32.8,44.5945945945946,8.4,Predicted,GCA_000213655.1_184,0.45,1,37,1,FALSE,1,0,0,0,1,0,2
0,10,0.9,18.1,0,0,37.7777777777778,106.8,Predicted,GCA_002355295.1_122,0.45,1,1375,2,FALSE,0,0,0,0,1,1,2
0.064606,10,0.6,0,0,-18.5,40.3846153846154,0,Predicted,GCA_000213655.1_360,0.44,1,42,2,FALSE,1,0,0,0,0,0,1
0.080358,10,0.7,0,-0.1,-0.56,36.8421052631579,0,Predicted,GCA_000222975.1_538,0.44,1,1039,4,FALSE,1,0,0,0,0,1,2
0.075626,10,0.5,11.7,-0.26,-12.58,50,11.7,Predicted,GCA_000497505.1_411,0.44,1,23714,7,FALSE,1,0,0,0,1,1,3
0.024836,10,0.9,13.7,-0.33,-9.57,15.5555555555556,52.4,Predicted,GCA_900088705.1_261,0.44,1,162,2,FALSE,0,0,0,0,1,1,2
0.300451,10,-2,0,-0.44,-10.83,49.2537313432836,0,Predicted,GCA_000007405.1_582,0.43,1,6163,22,FALSE,1,0,0,0,0,1,2
0.038763,10,-5,0,1,-70,61.5819209039548,0,Predicted,GCA_000007565.2_271,0.43,1,8041,3,FALSE,0,0,0,1,0,1,2
0.012655,10,0.6,34.5,0,-68,40.5017921146953,34.5,Predicted,GCA_000497505.1_433,0.43,1,496,1,TRUE,0,0,0,0,1,1,2
0.360453,10,-0.1,0,0,-6.48,56.8965517241379,0,Predicted,GCA_002355295.1_693,0.43,1,68,1,FALSE,1,0,0,0,0,0,1
0.360705,0.0335483,-0.8,0,-0.39,-8.36,33.5260115606936,0,Predicted,GCA_000015425.1_199,0.42,1,9471,4,FALSE,1,1,0,0,0,1,3
0.179254,10,-0.9,0,0,-18,48.4848484848485,0,Predicted,GCA_000015425.1_93,0.42,1,502,2,FALSE,1,0,0,0,0,1,2
0.038768,0.00153786,1,10,-0.7,-1.2,36.5853658536585,10,Predicted,GCA_000017745.1_386,0.42,1,17902,15,FALSE,0,1,1,0,1,1,4
0.285861,10,0.6,7.4,-0.95,-13.71,52.5252525252525,7.4,Predicted,GCA_000196475.1_552,0.42,1,68,1,FALSE,1,0,1,0,1,0,3
0.176608,10,0.2,0,-0.19,-17.73,44.1558441558442,0,Predicted,GCA_000213655.1_371,0.42,1,196,3,FALSE,1,0,0,0,0,1,2
0.074337,10,-0.7,0,-1.19,-19.81,64.6153846153846,0,Predicted,GCA_001042875.1_471,0.42,1,17437,3,FALSE,1,0,1,0,0,1,3
0.037994,0.00113731,-4.9,0,0.19,-32.55,58.252427184466,0,Predicted,GCA_000007565.2_249,0.41,1,205,1,FALSE,0,1,0,1,0,1,3
0.360705,10,0,0,0.39,-5.32,40.6779661016949,0,Predicted,GCA_000015425.1_78,0.41,1,5552,4,FALSE,1,0,0,0,0,1,2
